"","text","data.label"
"27","fpei radikal radikal otak loe gereja aja jaga semprot pake disinfektan agar selamat jiwa dpt selamat dr virus coronalah trus ini framingnya fpei ingin lenyap nyawa manusia kalau mau goblok jangan ngajak dong yg jelas cuma pki yg nyata bantai umat ","Negatif"
"28","gada corona pun gue mana mana pake masker anjir ","Negatif"
"29","gw baru tau klo setan suka melingker efek corona bi sebut ekonomi r bak lingkar setan ","Negatif"
"30","itu yg korupsi dana bansos corona pada gak takut dosa sama neraka apa ya","Negatif"
"31","kesel bgt ultah taun kemarin jebak corona ultah taun skrg jebak ujikom gaboleh gt aing happy happy","Negatif"
"32","passport udh mau mati bingung antara mau panjang skrg apa nanti karna corona ga jelas kelar kapan","Negatif"
"33","corona makin lama hidup makin gajelas","Negatif"
"34","corona nya udahan dulu yaa kita mau ramadhan","Positif"
"35","corona buat makin ansos","Negatif"
"36","fakkk dateng gua udh ansos anjir klo bener moga klo iya aman aja dah ama bedebah corona ","Negatif"
"37","corona coba lu ga ada gua ud nonton the box skrg di bioskop","Negatif"
"38","udh gaada buken francisaward online x tolak ptn bener gaada yg bikin semangat napas semua susah corona ga berkah lo ada di dunia ","Negatif"
"39","ase pass ase pass ini corona kelar di indo kalau negara lain blm kelar ya imigrasi jangan doleh buka dong boss gak kelar kelar nanti","Negatif"
"40","yg penting saat ini kita patuh dulu sama protokol sehat krn muncul varian mutasi virus corona ini gak bisa aba gitu aja semua org dampak dan kerepot ","Positif"
"41","sumpah corona lalu banget liat idol gue jadi halu gin anjirr ","Negatif"
"42","ga sadar udah bulan cepet bgt corona kapan ilang dah bosen masker terus ","Negatif"
"43","kok alpa kok lupa awal mikir enak bgt nih obligasi retur atas ya iya kalau liat dari maret tahun lalu yang awal corona harga pada turun jauh ","Negatif"
"44","empat produsen vaksin yg sdh kerja sama dgn negara kita yaitu sinovac astrazeneca novavax dan pfizer dan alhamdulillah kabar baik vaksin pfizer aman dan efektif tangkal korona pd anak moga bisa segera datang agar ajar tatap muka bisa dilakukn","Positif"
"45","akhir corona selesai ya tuhan","Positif"
"46","nah alhamdulillah vaksin novavax bukti persen efektif lawan varian corona b","Positif"
"47","cuma deket sama dosen kalo anak rantau corona gin gamungkin dicariin buat project atau apa sad","Negatif"
"48","macet cinta indonesia alias merah putih alias udh kayak ngga ada corona anjeer ","Negatif"
"49","pls corona harus cepet hilang kalo kaya gin kan ga bisa totalitas sbnrnya buat konten demi april mop udh totalitas bangett tapi kan jatohnya jadi acara lawak woy ","Negatif"
"50","gimana orang awam mau percaya corona main oknum dalem ngeri bener lama ini cuma baca di twitter ig skrg tau sendiri gileee","Negatif"
"51","ni kalo ga corona udah libur kaya aku drpd stressed out lol","Negatif"
"52","corona lu mikir ga sih benci orang dunia trs mental lu kok kuat gitu masih ada di bumi","Negatif"
"53","ingat juga vaksin bukan obat hanya bantu kebal dari dalam kalau diri saja sulit jaga sehat ya gmana lagi karena hanya kita sendiri yang bisa makanya sukses halau mutasi corona b ini dengan bijaksana pemrintah tanggap dgan segera solusi ","Positif"
"54","satu lagi nih berfikiran positif akan musibah lebih baik dari keluh kesah dan sebar berita hoaks soal mutasi virus corona b ini yang akan bikin orang jantung dengerin kata pemerintah para ahli sehat dont panic yak ","Positif"
"55","masalah kan kita sudah tahu sikecil nakal ini tak trlihat mata dan ada di mana mana saking gencar dia brmutasi sebar virus corona akan tetap ada solusi bagaimana ya tetap jaga sehat olahraga dan biasaakan hidup bersih sehat dan atur itu sih kunci ","Positif"
"56","ingat juga sebar coped ini sangat dahsyat karena itu dengan patuh atur pemerintah seperti tidak mudik lebaran ini dapat meminimalisir sebar kalian mau kan sekolah lagi kuliah lagi kerja yang aman tanpa phk akibat pandemi yuk ah kenal mutasi corona nya ","Positif"
"57","yu corona cepet ilang yupengen buka jastip korea nih aku tak sabar","Positif"
"58","lama corona bikin yang anak gaul bgt jadi introvert sampe mikirin gimana cara kenal pas udah tatap muka astaga bisa bisa","Negatif"
"59","moga puasa bulan ramadan ini sudah tiada corona","Positif"
"60","kangen mutual lama mutual awal corona serang anjir pada mana ya mereka ","Negatif"
"61","corona gak percaya cuma akal saja","Negatif"
"62","sangat sedih lihat kondisi usaha sekarang ini corona jancuk","Negatif"
"63","hiatus tahun gara corona kan emang anjing gapapa deng hemat duit ","Negatif"
"64","gw takut yang pro anti radikalisme ini satu dg yang sebar corona untuk cipta generasi bodoh di masa depan ","Negatif"
"65","terima atas himbauan pak menteri moga pandemi corona cepat lalu","Positif"
"66","sekarang semenjak corona dan gw susah orang orang yg gw bantu dulu pada balik ngebantu gw yaallah beneran haru dan syukur gw bantu tanpa gw bilang gw kasih tanpa gw minta gw mikir oh mungkin ini balas gw dulu karena udah bantu mereka juga","Positif"
"67","corona kontol jancok","Negatif"
"68","hasil latih gue dapet yang baik amiin corona cepet ilang ","Positif"
"69","happy aprils fool day corona cuma canda kan ya ahahahah","Negatif"
"70","corona bukan bahan jokes aprilmop bung m","Negatif"
"71","jadi makin takut keluar rumah public space yang rame bukan cuma karena corona aja tapi teroris skrg mana mana anjrit sampah banget anjiir teroris ngapain si lu annjir bala banget","Negatif"
"72","kapan selesai nya corona tiap hari kek d hantu tu virus dr minggu kmrn suami swab mulu so far negatif hari ini swab lg huhu moga ga knp sehat sih doi tp kl otg kan yaaaa berabee mak","Negatif"
"73","tmen gua bkin sg tntg corona ktnya cape liat org‚Äù gbsa dblgn kluar‚Äù apa sgla mcem tp dia sndri ke cafe tiap hari jing","Negatif"
"74","anggar corona turun kasus corona pun turun","Negatif"
"75","alhamdulillah sudah di vaksin covid","Positif"
"76","jancok corona","Negatif"
"77","tidak gue syukur masih bisa doain lu pas sedih jangkit corona","Positif"
"78","april mudah corona ada obat udah neng bet sih gua","Positif"
"79","kemarin jual corona lalu jual vaksin","Negatif"
"80","zaman corona emg banyak isis ini susah itu susah","Negatif"
"81"," taun ngontrak rumah jt tahun pas lg sulit gagara corona ini jd suka bayar bulan hari sblm masa kontrak abis tbtb yang punya rumah blg mulai ikut jd jt tahun barusan yg punya dtg maki kek yg setan mau naik jd brp jg suka yg punya rumah ceunah","Negatif"
"82","corona anjeng","Negatif"
"83","april tahun kemarin masih santai pada mikir ah ini virus corona ini paling atau bulan hahaha","Negatif"
"84","teroris jangan pake kedok agama terus dong kalo teroris copot atribut lo semua karena engga ada agama ngajarin buat ngebunuh mau masuk surga buat baik dan selalu usaha jadi orang baik corona om kelar udah ngerusuh mending lawan corona aja udah buat baik itu","Negatif"
"85","berita teroris knp rem si anjir lebih rem dari corona jd was was kl ditmpt rame trs ada org gajls wkwk","Negatif"
"86","udah tahun corona masih nembak thermogun ke tang aja udah aneh","Negatif"
"87","ya rabb akhir wabah corona yg ganggu aktifitas kami lindung kami dan bangsa ini","Positif"
"88","moga corona cepat akhir ","Positif"
"89","bulan puasa bentar lagi cmn harus bareng corona lagi hadeuh","Negatif"
"90","omg corona udah satu tahun yang lalu dan gue br kena skrg haha dongo","Negatif"
"91","cuma harap akhir tahun corona selesai","Positif"
"92","sampe skrg msh ga nyampe di otak sm org yang bilang ‚Äòpulang jgn malem lagi corona‚Äô mksd gue emg virus bakal beda gt pagi siang malem","Negatif"
"93","bukan gk mau bli tiket the box tp bioskop di dom blm ada yang bukaaa corona sial ","Negatif"
"94","lho bukan klean klean udh pada joget tiktok pamit corona sudah selesai napa berisik lagi dah ","Negatif"
"95","semenjak ada corona uang rumah tangga morat marit benar susah dapat duit sedih bngt klau anak n jajan tpi ga punya duit hati trasa sayat","Negatif"
"96","moga belum lebaran corona turun drastis dan selesai aamiin","Positif"
"97","ya allah kl emang jalan corona kelar lama gapapa tapi tolong moga kuliah cepet offline","Positif"
"98","pakai skincare nih tekan batin dan money jujur mau posthink jerawat sama redness bakal hilang tp bukti ga hilang‚Äù skincare habis tp efek ga ada agk stress juga jujur soal belum corona ga pernah jerawat trus pas nyoba mulai skincare malah jerawat breakout","Negatif"
"99","mungkin karena hormon atau vaksin corona harus aing semangat malah kek gin anjing","Negatif"
"100","susah bgt ya jadi anak pindah masa corona","Negatif"
"101","labasss terus corona ngacir dong pasar aja rame kok ","Negatif"
"102","asa tuh corona naek mulu ","Negatif"
"103","corona masih eksis media mulai bosan","Negatif"
"104","gila ganyangka aja gue sekolah cuma tahun nih tahun kaga arti apa apa anying ujikom sekedar jadi tu video corona anjiiiing","Negatif"
"105","ninggalin tanggung jawab demi tamasya ria wkwkwkwk kena corona lu nanti kampung bener anjir","Negatif"
"106","gw benci bgt corona","Negatif"
"107","diem di rmh bukan makin sehat malah tambah sakit sakit batin cuy en pulkam malah kagak jadi corona itu kah alas apa corona yg slama pandemi gin ngasi aku uang enggk kan apa corona yg bantuin tugas kuliah enggk sama skali enggk","Negatif"
"108","woi anjrit gue takut dh tetangga dpn rmh gue satu rmh positif corona gue yg lgi panas batuk pilek radang tenggorok jdi ovt ","Negatif"
"109","corona corona beli vitamin aja nguras kantong bgt","Negatif"
"110","gila bandung malam ini riot beud dah pada lupa apa ya kalo bumi ini tuh ada corona ","Negatif"
"111","corona indo turun itu emang turun sengaja turun atau dana buat coronax udah habis ","Negatif"
"112","hahaha pdhl punya pilih utk g tinggal rumah tp lbh milih utk bantu penyebarna virus corona cakep bun ","Negatif"
"113","dokter goblok belum tau corona apa kaga udah sok sok corona aja obat ga ada ngaruhnya udah hari rutin gw minum","Negatif"
"114","di tiktok rame bgt rumah sakit rujuk corona ruang udh pada kosong moga ini tanda baik corona beneran hilang dengan cepat dan bisa puasa dengan tenang tanpa ada corona aamiin","Positif"
"115","yaa lu goblok mikir dikit apa udh tau msh corona minta event yg gede bego ","Negatif"
"116","corona free kpk","Negatif"
"117","ketika yakin umat islam dg al quran di main oleh corona ","Negatif"
"118","nutup jalan dipatiukur aku rasa bukan solusi yg tepat untuk urang sebar virus corona stuck ","Negatif"
"119","kesel banget woy sma corona","Negatif"
"120","setan dgn corona ","Negatif"
"121","muslim di indo mentang lg corona selain rajin cuci tang dg sabun juga cuci tang atas salah saudara iman ","Negatif"
"122","sssst ada yang mau ngomong nih dengerin yuk mas ngomong apa kayak penting nih buat investor dan trader angkat corona","Negatif"
"123","tugas kuliah makin sini makin aneh bgt dikit suluh wawancara pls lg corona bukan mudah malah sulit","Negatif"
"124","selamat datang ramadhan selamat tinggal corona","Positif"
"125","sudah tahun lebih corona sebar di indonesia moga pandemi cepat lalu dan kita bisa hidup dengan layak kembali","Positif"
"126","stress bngt lagi bnyk masalah abang malah positif corona ","Negatif"
"127","emang yaa masker corona ini bikin jerawat lagi ","Negatif"
"128","saya lihat beberapa bulan ini spanduk dari kpk kena hukum mati bagi oknum yang korupsi dana corona covid sudah hilang dari edar","Negatif"
"129","saat salah corona","Negatif"
"130","semua orang suka tanggal merah tp gua mah tiap hari tanggal merah mulu sejak corona serang bismillah moga siap lebaran bisa dapat kerja yang baik hindar dr lingkung toxic dan tahun ini lulus cpns","Positif"
"131","gila tadi abis soljumbanyak bgt yg ga pake maskerdipikir corona udh ilang apa","Negatif"
"132","boomer kalo gak pemerintah sama oposisi kok goblok ya udh bener ada corona boomer kek gin gausah kasi vaksin aja dah biar mati gak ada yg layat ","Negatif"
"133","sebenernya corona itu ga ada cuman april foolllss doang ","Negatif"
"134","corona bikin ribet aja tai","Negatif"
"135","sholat jumat kali ini ngeri dep bund ngeliat orang kitar banyak yang ga pake masker dan gaada social distancing like corona is a joke in here ","Negatif"
"136","gmna angka mati krna corona ga tinggi klo yg mati krna sakit lain jg di corona kan","Negatif"
"137","paham banget nih tuju orang desa aman dari corona jadi jangan pada pulang kampung nnti takut kontaminasi virus kota jadi suruh libur aja ke tempat wisata ","Negatif"
"138","kalau mungkin tahun itu ngak ada corona mungkin sekarang gua kagak tau tuh jkt apakah jkt masih ada atau ngak kagak tau alhamdulillah ada bagus jg ini corona ","Positif"
"139","corona cepet selesai napa gemes bgt interact ginii","Negatif"
"140","corona gin mahasiswa yg provinsi sama kampus dapet banyak privilege duh bikin dengki aja","Negatif"
"141","mudah ‚Äúcorona‚Äù segera pergi dari bumi indonesia ","Positif"
"142","ah enggak yg lulus pas corona suruh ortunya nunggu wisuda offline akhir udah lama sampe ga perlu wisuda ","Negatif"
"143","puasa bentar lagi corona enggak pergi pergi","Negatif"
"144","tang bersih corona pergi dan tentu selalu pakai masker","Positif"
"145","bis jadi mahal bgt anjir ada corona gin ga ngotak naik harga","Negatif"
"146","sah sah ajasih kalau di masa new normal gin masih ada alas kalau ga ada corona harus buat acara resepsi dong gak mau tau ntar dikatain tetangga teman sama keluarga bund ","Negatif"
"147","skrang banyak fake friend ya semenjak libur corona ini semua ke spill haha mana yg setia mana yg cmn mnfaatin tau eh ternyta smua nya temenan sama aku cmn ngisi waktu luang cmn ngemanfaatin doang bodoh bgt ak dlu","Negatif"
"148","corona emg anjing udah bikin ibu sedih dan pikir dua kali","Negatif"
"149","negatif corona positif gila","Negatif"
"150","yuk kita harus optimis guys dengan laku vaksinasi utk orang sayang kita yang sudah lansia bisa lebih lindung dari virus corona ini semnagatt kuyy","Positif"
"151","auk dah corona bangsat","Negatif"
"152","demi apa bandung macet banget kaya benerbener enggak ada corona sama sekal","Negatif"
"153","ni aku kudu marah ke corona apa siapa nih yg bikin susah uang aku tahun ini ha babi","Negatif"
"154","tetap sehat terus ya biar tetap kuat ","Positif"
"155","corona ilang kek lo","Negatif"
"156","boro ajar yang masih ingus bro lah yang ngaku dosen ostralipenulis buku handal bisa papar rizieqelfathir ephraym joshimakim vimae rdwr mvllestari cagubnyinyir djokoadv albertocung candraasmara coronakafirnw ","Negatif"
"157","y allah sampe gin umat mu benar bejad gambar sorga itu buat para ngustad agama ku ini gak jauh dari halalharammeledakkan diri nerakabidadari sekarang tambah pesta x di sorgacoronakafirnw ephraym joshimakim vimae ancor agama ","Negatif"
"158","yuk corona kelar yuk","Positif"
"159","corona insya allah segera akhir siap pasang karpet masjid ","Positif"
"160","dah lah kesel gua ama corona gak boleh nontongak boleh main ama temen sekolah boleh main ama temen rumah","Negatif"
"161","en caci maki corona","Negatif"
"162","en ke miniso tp masih ga berani ke mall grgr corona doang ini hhhhh","Negatif"
"163","sw nya temen gue itu gada sosial distancing sama yg make masker juga bbrp doang gmn corona mau kelar coba ","Negatif"
"164","dari kemarin ngeliat temen yg kerja based pemerintahan vaksin tp kaget ada yg kemarin kena corona ttp dpt vaksin tau gue udah ga prioritas gasih bahkan dipengumuman ga sar gue kasi aja sama orang udah tua blm dapet karna yg diprioritasin bagi pemerintahan aja","Negatif"
"165","selain provokasi corona pun dia juga sebar ","Negatif"
"166","trs dia jawab anti corona ya iya anjerr gua jg tau anti corona tapi ga gitu juga udh mah pake kacamata renang terus pake itu yaampun mana si kaca nya itu mleyott","Negatif"
"167","nanti sore mau nonton the box di bioskop buat pertama kalimya setelah tahun ga ke bioskop tp degdegan bgt woii udah kayak mau ke medan perang corona u mending jauhjauh dah ya gausa beting","Negatif"
"168","orang lagi corona gin main nyelonong masuk ke rumah org aja pdhl abis ketemu org banyak mana kaki nya kotor item abis kena becek depan pintu ada keset kaga ngeset lagi malah ngeset di karpet itu sengaja bikin kesel atau emg kaga bisa mikir kali ya malu sama umur ","Negatif"
"169","maju bangsa kok lomba megahmegahan istana maju bangsa tu liat dari riah seremoni duta imunitas corona ","Negatif"
"170","lebih tepat aku gasuka ada tamu corona gin kenapaa kudu bertamu gt lho duduk rumah chat aja","Negatif"
"171","corona bangke","Negatif"
"172","asal nyerocos aja ini orang dan para bantu ngasih data yg gk jelas tau‚ paling tdk becu menangani virus corona ","Negatif"
"173","wajar kalau jepang dan negara lain seruk selidik lebih lanjut asal usul viruscorona karena tiongkok tidak sedia data yg lengkap bahkan sering tuduh negara lain sumber lawancovid ccpvirus turnbackchina","Negatif"
"174","akan kita bahas siapa saja elit asing dan elit lokal yang ambil untung dari teror koped masuk partai merah ","Negatif"
"175","corona hanya untuk kaum elite ekonomi sulit","Negatif"
"176","corona tumpul ke atas tajam ke bawah","Negatif"
"177","pasang corona sudah mulai gila ","Negatif"
"178","ah baru tahu kalau corona pilahpilih ","Negatif"
"179","masih percaya sama corona tai anjing hah wkwkwkwkwkwkwkwk ","Negatif"
"180","gilir corona tingkat rakyat yg salah sementara presiden ulang kali langgar prokes","Negatif"
"181","saya juga heran kenapa virus akan malah milih orang ya apakah virus corona sekarang sudah bisa bedak manapernikahan para ulama dan para artis ya","Negatif"
"182","benar sih bro gua bingung sama neger ini kata di larang kerumun tapi di saat artisorang kaya adakan pesta di boleh tempat wisata di buka mall di buka tapi mudik tidak di boleh tetapi macet sana sini corona bisa pilih mana yg kaya mana yg jelata","Negatif"
"183","bisa bisa corona mandang finansial","Negatif"
"184","virus corona kok bisa papar virus politik ","Negatif"
"185","corona cuma takut sama halilintar ","Negatif"
"186","gara gara corona gue bisa punya banyak temen dari sabang sampe merauke","Negatif"
"187","alhamdulillah corona hilang postif thinking aza ","Positif"
"188","ketika virus corona dpt bedak antara putri artis dan putri ulama","Negatif"
"189","taraweh kok larang gara corona revolusibergema lewat youtube","Negatif"
"190","saya jg bingung corona ada di sekolah dan masjid tp di mallpasar dan tempat wisata pada ngilang apa mungkin sangkin asyik ya main dan belanja tawa ketiwi sampai lupa sama orangorang","Negatif"
"191","saya juga bingung kenapa virus corona bisa papar politik","Negatif"
"192","sangat hebat sekal ampe corona aja udah diajarin politik ","Negatif"
"193","jelas ini salah jokowi dan menkeskok bisa jumlah vaksin rusak banyak itu","Negatif"
"194","yakali jabat dan manusia tenar kena corona ya gak mungkin lahh","Negatif"
"195","udah dibilangin corona mah cuman nyerang kaum proletar doang","Negatif"
"196","anak ulama kawin ujung penjara artis kawin rama apa corona cuma bahaya di hajat ulama ","Negatif"
"197","bodo amat lah sama corona poko lebaran bsok mudik","Negatif"
"198","baru kali ini syukur jadi angkat corona part ","Positif"
"199","gilir nikah orang kecil di sulit kata corona gilir orang kaya nikah dateng","Negatif"
"200","bingung lihat duo mantan calon presiden yg jadi saksi nikah anak pahlawan atau gimana kok bisa didatangin duo mantan calon presiden gt saat pandemi emang virus corona udah tular hukum di indonesia ya bisa tebang pilih gitu ","Negatif"
"201","kasi ya orang yg taat gt pasti sakit hati bgt lihat beginiada gak sih yg lama tahun ini sama sekal gak pernah main keluar kotagak ketemu keluarga nunggu sampe corona ilang gilak sih kuat banget ","Negatif"
"202","ribet bgt angkat corona segala giat bikin video gaje bgt","Negatif"
"203","salut sma org‚ udh mulai berani buka suara yg kirain trending karena banyak ucap tau banyak kritik bagus kita udh pada capek sma drama corona tapi artis dan horangkaya selalu dapat ringan ","Negatif"
"204","ayooo kita henti sebar virus corona dengan laku vaksin vaksin sinovac halal dan aman ","Positif"
"205","moga corona lekas pergi ","Positif"
"206","inget corona cuma nyerang pas orang mau mudik sama acara nikah rakyat jelata catet itu biar kita hindar dari virus corona","Negatif"
"207","kpan corona kelar ajg pen ke dufan","Negatif"
"208","beda orang kaya smaa orang miskin orang miskin ya nikah pasti tahan sama aparat karena dalih sebar corona orang kaya lah bebas dia mah wong tuan raja sendiri yang hadir","Negatif"
"209","corona kapan abis si anjing","Negatif"
"210","emang bener yaa corona serang orangorang yang ngga duit","Negatif"
"211","kapan ya temen gue sadar kalo corona d exist dan itutu bahaya bokap gue pergi gara gara pasca covid yang bikin kacau sistem kerja jantung dan temen gue masih enak haha hihi luar gamake masker","Negatif"
"212","besok mei boleh mudik screenshot aja foto nikah attaaurel dan pak presiden jokowi biar ada bukti bahwa corona gak ada ","Negatif"
"213","sumpah ksl bet gua asa corona","Negatif"
"214","ini corona masih ada gak sih anjing","Negatif"
"215","corona pun makin kini bingung acara sama kerumun nyaa sama pakai masker sama tp hukum nya beda hanya keluarga ulama yg d penjara ","Negatif"
"216","emang tai corona ","Negatif"
"217","capek gak sih umur hidup kejar corona ","Negatif"
"218","ketika virus corona sudah mulai papar politik begini jadi ","Negatif"
"219","kata yang ngetrendnya cepet ilangnya juga cepet laahh ini corona ngetrendya cepet kok ga ilang ilang","Negatif"
"220","moga setelah corona jual masker dan sanitizer tetap limpah dan murah ","Positif"
"221","corona jahad ","Negatif"
"222","corona mah takut sama jabat dan para seleb","Negatif"
"223","ini corona kapan hilang sihh ku sudah muak rumah terus","Negatif"
"224","masa habis di vaksin malah positif corona ","Negatif"
"225","corona emg eek dah ","Negatif"
"226","harus kemarinkemarin yang acara nikahin nya di bubarin cara paksa sama aparat negara undang presiden dan sedikit jajar nya konon itu bisa lindung kita dari corona masya allah brother","Negatif"
"227","gue sih ga suka alias geli liat jokowi jadi saksi nikah atta tapi kalo julid nya kenapa ga dibubarin padahal corona mentang anak orkay ya ga tepat juga malah lucu","Negatif"
"228","udah liat kan yaudha wkwkw inti corona takut ama yang punya banyak duit ","Negatif"
"229","kek nya corona virus cuman ada di skolah deh makan skola ga masuk masuk ","Negatif"
"230","virus corona papar politik segera guna apd alat indung dungu","Negatif"
"231","rezim mah bebas mau ngapain jugapak lurah kenapa jadi saksi atta dan aurel nikah corona udah blangbas coy","Negatif"
"232","setelah lihat nikah youtuber dan anak artis yang saksi oleh presiden dan jadi konten di akun sekretariat negara di saat pandemi corona apa sih yang masih kalian harap dan percaya dari semua ini corona jabat negara","Negatif"
"233","kira kira virus corona rasa singgung gak ya di pesta nikah anak artis","Negatif"
"234","ketika virus corona papar virus politik dahsyat sekal efek radiasi hingga iblis pun harus laku evakuasi hindar papar virus politik ","Negatif"
"235","kenapa corona tidak di tangangin dengan serius karna corona tidak hambat korupsi hahahaha","Negatif"
"236","corona ha pling cm msuk anginn ","Negatif"
"237","nikah atris kenal dan kenal dg jabat tinggi jelas tidak potensi ada tular virus corona namun beda dg masyarakat kecil nikah rentan potensi tular corona makanya di bubar bahkan cara paksa","Negatif"
"238","gimana rasa udah tahun gak balik gara coronasekarang mau mudik masih tetep dilarangitu nikah artis malah dateng dong woiidi publish di twitter setneg pulaaaaaspeechless","Negatif"
"239","miss corona hanya dijadiin alat para konglomerat kelas berat utk jerat rakyat yg sekarat di kejar aparat","Negatif"
"240","gue om pernah ngerasain nonton konsercorona dah serang asu","Negatif"
"241","sekarang kita liat adil sekarang kita liat corona itu seperti apa","Negatif"
"242","lha kan udah bukti corona gak nular ke jabat ","Negatif"
"243","ya allah cangkem wakil ketua mpr ini bejad dan busuk sekalimalang sekal nasib rakyat gaji orang ini cumacagubnyinyir coronakafirnw ephraym elfathir djokoadv dwijapangarsa mataindonesia parapatnixon rboyklepon edharis ","Negatif"
"244","corona tidak berlaku bagi orang uang","Negatif"
"245","virus corona itu tahu diri dia hanya mau sasar kerumun rakyat bukan kerumun jabat","Negatif"
"246","nakes pada sibuk ngurusi corona presiden kita ngurusi aurel sama atta","Negatif"
"247","virus corona yang papar politik","Negatif"
"248","elu sih miskin coba lu kaya corona takut sama elu prokesalarezim","Negatif"
"249","soal daftar haji di indo ngantrinya udah tahun aja akhir tahu info dan ini masih fase corona hiks bismillah moga kita semua segera panggil dan mampu sama allah buat berangkat haji yaaaa aamiin","Positif"
"250","ehhhh nikah seleb corona cuti dulu yaa","Negatif"
"251","ospek g kelar njir udh hampir tahun lg corona malah minta ospek di pntai dasar kating","Negatif"
"252","baru hari nikmat au atuy galon ada aja orang orang lebay yg bikin au harmless o masa bgt kyk anjir org emang kurang piknik semenjak corona masuk gue tapi ga bikin gue jd bego kyk lo pada juga","Negatif"
"253","ni tetangga gue musim corona sibuk acara dangdut anjir ‚Äúcheck ‚Äù dari jam pak maghrib pak","Negatif"
"254","corona sial gue mau ke pantai anjeng ","Negatif"
"255","taun kemarin banyak ngeluh hidup gin gin aja tau galama kasih corona skrg tiap mau ngeluh jadi mikir dua kali","Positif"
"256","beli lagi vaksin baru dari china komunis ","Negatif"
"257","seperti biasa lah pak presiden bikin nyata telat uu omnibus demo dulu baru bikin nyata skrng banjir bandang dulu baru bikin nyata corona travel incentive dulu psbb kemudian biasaaaallaahh","Negatif"
"258","asma bengek diare mencret jantung ginjal di tambah bumbu mie cina maka di sebut virus coronarakyat bodoh tambah di bodoh demi kuat ekonomi cina di indonesiaekonomi pribumi hancur pelan pelan ","Negatif"
"259","udah yang paling bener tuh salah corona","Negatif"
"260","corona ajar bahwa nikah itu murah cuy","Positif"
"261","ajg emang kl demam sm batuk di saat gin dosa betul kah belum corona jg demam sm batuk kan umum","Negatif"
"262","susah ya jadi buruh umr naik nyata gaji potong nanyain jelas hak karyawan katak bpjs suruh resign alas omzet karena corona","Negatif"
"263","ini corona lama lama kek game ye mutasi gampang bener gue liat liat","Negatif"
"264","varian baru virus corona nama eek diiiih udah jelek tambah jelek aja lu ek ","Negatif"
